model,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,seating_capacity,ground_clearance,boot_space
Pagani Huayra,Ultra Red,Oil,Automatic,2987813.19,2023-08-14,2023-10-23,Massachusetts,361.7,6,148.3,472
Aston Martin DBS,Red Multi-Coat,Diesel,Automatic,376499.65,2023-08-29,2023-10-27,Italy,299.7,6,164.2,556
Pagani Huayra,Stealth Grey,Oil,Automatic,3056842.37,2025-04-19,2025-05-14,New Jersey,340.6,6,169.6,573
Lotus Emira,Solid Black,Oil,Automatic,89710.43,2023-10-27,2023-12-02,China,229.9,6,169.7,426
Koenigsegg Jesko,Solid Black,Oil,Automatic,3076350.72,2023-09-28,2023-10-24,Colorado,386.7,6,154.4,623
Mercedes-AMG GT,Deep Blue Metallic,Diesel,Automatic,128075.85,2024-05-01,2024-07-08,Maryland,318.7,6,148.4,479
Lotus Emira,Midnight Silver Metallic,Diesel,Automatic,92818.8,2024-06-18,2024-07-11,Washington,228.0,6,150.9,588
Lotus Emira,Solid Black,Oil,Automatic,91861.59,2024-05-20,2024-07-15,Connecticut,248.2,6,162.2,557
Rolls-Royce Ghost,Deep Blue Metallic,Oil,Automatic,422257.16,2023-08-11,2023-10-24,Colorado,345.4,6,141.9,468
BMW M5 CS,Stealth Grey,Diesel,Automatic,158477.06,2023-07-16,2023-09-30,Nevada,284.1,6,149.3,442
Range Rover Sport,Stealth Grey,Diesel,Automatic,145770.35,2023-06-28,2023-08-25,Japan,251.1,6,169.5,631
McLaren 720S,Solid Black,Diesel,Automatic,302212.49,2023-09-10,2023-11-20,South Korea,343.5,6,142.3,496
Nissan GT-R,Deep Blue Metallic,Diesel,Automatic,126942.54,2024-10-19,2024-10-30,Nevada,309.0,6,143.0,621
Maserati MC20,Pearl White,Diesel,Automatic,238130.58,2023-12-09,2024-02-15,France,363.1,6,142.5,602
McLaren 720S,Pearl White,Oil,Automatic,300869.75,2024-05-28,2024-07-27,Connecticut,330.7,6,169.4,518
