model,variant,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,engine_capacity,battery_capacity,charging_time,seating_capacity,ground_clearance,boot_space
Tesla Model S,Long Range,Red Multi-Coat,Electric,Automatic,123262.05,2024-05-19,2024-05-27,Connecticut,346.8,0,87.8,10.9,5,140.3,444
Tesla Cybertruck,Long Range,Deep Blue Metallic,Electric,Automatic,54012.68,2024-09-24,2024-12-19,California,484.1,0,79.6,1.1,5,152.7,528
Tesla Model Y,Plaid,Deep Blue Metallic,Electric,Automatic,66030.49,2023-11-23,2023-12-09,Colorado,327.1,0,84.4,1.4,7,142.6,885
Tesla Model X,Performance,Stealth Grey,Electric,Automatic,138207.29,2023-10-01,2023-12-23,Oregon,315.5,0,96.3,10.3,7,158.2,581
Tesla Model Y,Long Range,Pearl White,Electric,Automatic,61542.75,2024-07-05,2024-09-29,New Jersey,305.5,0,67.8,6.0,7,159.2,612
Tesla Cybertruck,Plaid,Midnight Silver Metallic,Electric,Automatic,72225.97,2023-04-02,2023-04-08,Virginia,307.2,0,70.8,3.0,5,155.8,580
Tesla Model S,Plaid,Ultra Red,Electric,Automatic,129420.81,2024-10-15,2024-12-08,New York,365.5,0,77.6,11.0,5,163.9,632
Tesla Model Y,Plaid,Midnight Silver Metallic,Electric,Automatic,54067.25,2024-12-24,2025-03-12,Nevada,314.5,0,62.1,8.6,7,148.1,495
Tesla Model X,Performance,Deep Blue Metallic,Electric,Automatic,81965.9,2023-09-18,2023-11-21,Connecticut,325.2,0,84.2,10.5,7,146.7,571
Tesla Model S,Standard Range,Ultra Red,Electric,Automatic,107756.4,2024-12-18,2025-01-22,Connecticut,391.5,0,88.8,3.7,5,148.5,525
Tesla Model Y,Standard Range,Red Multi-Coat,Electric,Automatic,67134.25,2023-10-08,2023-12-16,New Jersey,308.5,0,83.2,5.4,7,149.7,600
Tesla Roadster,Plaid,Stealth Grey,Electric,Automatic,222295.57,2023-07-27,2023-09-10,Texas,523.3,0,93.6,1.4,5,154.6,523
Tesla Model 3,Performance,Pearl White,Electric,Automatic,42269.34,2024-02-05,2024-04-17,Colorado,312.8,0,73.9,5.8,5,149.1,504
Tesla Model S,Standard Range,Stealth Grey,Electric,Automatic,119647.97,2024-04-13,2024-06-22,California,370.2,0,62.7,8.8,5,159.1,586
Tesla Model X,Long Range,Stealth Grey,Electric,Automatic,100062.2,2024-06-27,2024-09-04,Colorado,321.2,0,85.0,8.8,7,150.2,730
Tesla Model 3,Plaid,Red Multi-Coat,Electric,Automatic,48344.91,2024-12-11,2025-02-06,Arizona,299.3,0,64.6,1.0,5,163.3,579
Tesla Model S,Performance,Stealth Grey,Electric,Automatic,92696.26,2023-11-23,2024-01-10,Massachusetts,365.5,0,95.6,9.6,5,140.3,632
Tesla Model S,Performance,Deep Blue Metallic,Electric,Automatic,79382.4,2023-09-02,2023-11-10,New York,348.0,0,72.7,7.4,5,161.1,444
Tesla Cybertruck,Standard Range,Red Multi-Coat,Electric,Automatic,79765.76,2024-04-25,2024-06-07,Illinois,467.1,0,68.7,2.8,5,142.7,474
Tesla Model 3,Plaid,Stealth Grey,Electric,Automatic,53357.58,2024-09-26,2024-11-24,Texas,312.0,0,72.6,6.3,5,169.1,447
Tesla Model Y,Standard Range,Red Multi-Coat,Electric,Automatic,62081.24,2023-04-17,2023-07-11,Nevada,326.0,0,87.5,2.0,7,168.0,692
Tesla Model Y,Long Range,Red Multi-Coat,Electric,Automatic,52851.94,2025-03-02,2025-03-29,Nevada,329.8,0,88.8,1.8,7,168.0,637
Tesla Model Y,Performance,Ultra Red,Electric,Automatic,50226.49,2023-11-21,2024-01-08,New Jersey,297.5,0,65.4,1.8,7,148.2,756
Tesla Model X,Long Range,Deep Blue Metallic,Electric,Automatic,124892.11,2024-09-24,2024-10-19,New Jersey,326.8,0,88.5,3.7,7,151.3,845
Tesla Roadster,Standard Range,Pearl White,Electric,Automatic,248991.8,2024-05-09,2024-05-14,Virginia,572.7,0,80.4,10.5,5,149.2,621
Tesla Roadster,Performance,Solid Black,Electric,Automatic,221882.2,2023-12-05,2024-02-07,Maryland,409.6,0,85.8,3.7,5,152.1,533
Tesla Roadster,Plaid,Stealth Grey,Electric,Automatic,226459.41,2024-10-22,2024-10-27,Washington,494.7,0,61.8,10.7,5,166.0,529
Tesla Model X,Plaid,Deep Blue Metallic,Electric,Automatic,83033.18,2025-01-06,2025-04-05,Washington,324.7,0,64.7,11.0,7,154.5,815
Tesla Model Y,Long Range,Solid Black,Electric,Automatic,60163.5,2024-08-24,2024-10-17,Nevada,291.7,0,88.4,8.0,7,156.1,882
Tesla Model 3,Standard Range,Pearl White,Electric,Automatic,44281.64,2023-08-06,2023-10-26,Connecticut,302.8,0,84.3,11.8,5,143.4,452
Tesla Model X,Performance,Midnight Silver Metallic,Electric,Automatic,99738.48,2023-06-17,2023-08-19,California,338.8,0,63.0,3.8,7,153.9,886
Tesla Model 3,Plaid,Midnight Silver Metallic,Electric,Automatic,46833.92,2023-05-04,2023-06-19,New Jersey,302.5,0,83.7,3.2,5,141.5,647
Tesla Model S,Plaid,Deep Blue Metallic,Electric,Automatic,105060.6,2024-05-11,2024-05-31,New York,320.4,0,63.8,3.2,5,169.3,576
Tesla Model S,Plaid,Pearl White,Electric,Automatic,99837.32,2024-10-28,2025-01-08,New York,399.1,0,68.5,8.7,5,168.9,475
Tesla Model 3,Long Range,Ultra Red,Electric,Automatic,46814.86,2024-12-10,2025-01-13,Oregon,287.7,0,93.7,8.4,5,153.1,593
Tesla Model X,Standard Range,Pearl White,Electric,Automatic,109675.03,2025-02-08,2025-04-30,Washington,338.0,0,91.9,4.4,7,157.5,453
Tesla Model X,Performance,Midnight Silver Metallic,Electric,Automatic,134285.47,2024-07-24,2024-10-22,Florida,306.8,0,62.0,10.0,7,149.1,825
Tesla Cybertruck,Standard Range,Deep Blue Metallic,Electric,Automatic,56516.0,2024-10-30,2024-12-16,Oregon,342.9,0,75.8,8.6,5,164.9,640
Tesla Roadster,Plaid,Solid Black,Electric,Automatic,236329.98,2023-06-08,2023-08-11,Nevada,432.1,0,90.4,6.6,5,161.8,631
Tesla Model X,Long Range,Deep Blue Metallic,Electric,Automatic,100252.29,2024-02-25,2024-03-02,California,339.5,0,64.7,8.5,7,160.5,774
Tesla Model X,Performance,Stealth Grey,Electric,Automatic,98108.86,2024-01-08,2024-02-21,Florida,347.2,0,93.7,4.0,7,166.1,576
Tesla Cybertruck,Plaid,Ultra Red,Electric,Automatic,69203.01,2023-04-17,2023-05-12,Massachusetts,324.2,0,67.6,2.9,5,162.1,449
Tesla Model S,Standard Range,Solid Black,Electric,Automatic,88550.26,2024-09-03,2024-09-26,Virginia,342.2,0,88.8,6.9,5,159.3,485
Tesla Cybertruck,Performance,Ultra Red,Electric,Automatic,67220.2,2024-07-30,2024-08-13,Maryland,499.7,0,94.4,4.9,5,161.3,637
Tesla Model X,Standard Range,Stealth Grey,Electric,Automatic,86895.97,2024-03-20,2024-03-21,Colorado,347.4,0,79.7,1.3,7,144.3,803
Tesla Model S,Plaid,Midnight Silver Metallic,Electric,Automatic,118272.6,2024-03-11,2024-05-19,Illinois,351.7,0,91.3,2.1,5,164.1,613
Tesla Model Y,Long Range,Stealth Grey,Electric,Automatic,47903.61,2024-12-12,2025-01-09,Texas,277.8,0,75.4,10.5,7,169.4,580
Tesla Model X,Long Range,Solid Black,Electric,Automatic,89451.18,2024-10-03,2024-10-20,Connecticut,342.7,0,65.4,7.6,7,141.3,576
Tesla Model Y,Long Range,Ultra Red,Electric,Automatic,60333.19,2023-11-09,2024-02-02,Massachusetts,294.0,0,74.4,10.8,7,140.1,559
Tesla Model S,Standard Range,Deep Blue Metallic,Electric,Automatic,97354.44,2023-12-12,2023-12-23,New York,346.6,0,62.0,7.6,5,168.1,458
Tesla Model 3,Plaid,Red Multi-Coat,Electric,Automatic,41152.47,2023-05-04,2023-07-09,Nevada,313.0,0,65.5,5.3,5,165.3,631
Tesla Model 3,Standard Range,Red Multi-Coat,Electric,Automatic,42947.12,2024-09-13,2024-11-11,Massachusetts,291.3,0,67.2,2.0,5,166.4,520
Tesla Model X,Standard Range,Solid Black,Electric,Automatic,103317.05,2023-08-20,2023-10-31,Colorado,329.1,0,75.1,9.0,7,148.1,630
Tesla Roadster,Standard Range,Deep Blue Metallic,Electric,Automatic,245980.4,2024-06-27,2024-08-23,Massachusetts,594.0,0,73.5,11.4,5,147.1,463
Tesla Model X,Plaid,Solid Black,Electric,Automatic,111739.11,2023-09-14,2023-09-24,Washington,326.4,0,72.3,3.7,7,168.7,750
Tesla Cybertruck,Long Range,Deep Blue Metallic,Electric,Automatic,55825.41,2023-07-06,2023-10-01,Virginia,261.4,0,79.4,8.4,5,166.2,487
